Serial Number:20365150 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","EOF"
2019-10-01 00:49:20,50.91,0, , , 
2019-10-01 01:49:20,50.99,0, , , 
2019-10-01 02:49:20,51.15,0, , , 
2019-10-01 03:49:20,50.84,0, , , 
2019-10-01 04:49:20,50.45,0, , , 
2019-10-01 05:49:20,50.14,0, , , 
2019-10-01 06:49:20,50.14,0, , , 
2019-10-01 07:49:20,48.06,11, , , 
2019-10-01 08:49:20,48.06,65, , , 
2019-10-01 09:49:20,49.14,122, , , 
2019-10-01 10:49:20,48.91,101, , , 
2019-10-01 11:49:20,49.52,101, , , 
2019-10-01 12:49:20,48.60,77, , , 
2019-10-01 13:49:20,48.60,69, , , 
2019-10-01 14:49:20,48.98,54, , , 
2019-10-01 15:49:20,48.44,32, , , 
2019-10-01 16:49:20,48.06,31, , , 
2019-10-01 17:49:20,47.36,10, , , 
2019-10-01 18:49:20,46.82,0, , , 
2019-10-01 19:49:20,46.36,0, , , 
2019-10-01 20:49:20,46.20,0, , , 
2019-10-01 21:49:20,45.35,0, , , 
2019-10-01 22:49:20,44.97,0, , , 
2019-10-01 23:49:20,43.73,0, , , 
2019-10-02 00:49:20,43.04,0, , , 
2019-10-02 01:49:20,42.73,0, , , 
2019-10-02 02:49:20,42.34,0, , , 
2019-10-02 03:49:20,42.27,0, , , 
2019-10-02 04:49:20,41.96,0, , , 
2019-10-02 05:49:20,41.49,0, , , 
2019-10-02 06:49:20,41.49,0, , , 
2019-10-02 07:49:20,41.72,25, , , 
2019-10-02 08:49:20,43.11,75, , , 
2019-10-02 09:49:20,44.97,197, , , 
2019-10-02 10:49:20,46.51,167, , , 
2019-10-02 11:49:20,49.06,202, , , 
2019-10-02 12:49:20,52.30,249, , , 
2019-10-02 13:49:20,54.31,136, , , 
2019-10-02 14:49:20,57.17,97, , , 
2019-10-02 15:49:20,60.34,145, , , 
2019-10-02 16:49:20,61.26,149, , , 
2019-10-02 17:49:20,58.33,54, , , 
