Serial Number:20467371 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-10-06 16:51:34,69.76,390, , , , 
2019-10-06 17:51:34,59.10,149, , , , 
2019-10-06 18:51:34,45.66,1, , , , 
2019-10-06 19:51:34,39.49,0, , , , 
2019-10-06 20:51:34,35.39,0, , , , 
2019-10-06 21:51:34,32.84,0, , , , 
2019-10-06 22:51:34,31.76,0, , , , 
2019-10-06 23:51:34,29.91,0, , , , 
2019-10-07 00:51:34,29.68,0, , , , 
2019-10-07 01:51:34,32.07,0, , , , 
2019-10-07 02:51:34,29.99,0, , , , 
2019-10-07 03:51:34,28.83,0, , , , 
2019-10-07 04:51:34,28.75,0, , , , 
2019-10-07 05:51:34,26.98,0, , , , 
2019-10-07 06:51:34,26.36,3, , , , 
2019-10-07 07:51:34,33.38,223, , , , 
2019-10-07 08:51:34,77.40,"4,271", , , , 
2019-10-07 09:51:34,93.85,"6,064", , , , 
2019-10-07 10:51:34,63.19,442, , , , 
2019-10-07 11:51:34,62.42,467, , , , 
2019-10-07 12:51:34,70.84,"1,997", , , , 
2019-10-07 13:51:34,68.91,276, , , , 
2019-10-07 14:51:34,74.08,"1,222", , , , 
2019-10-07 15:51:34,89.37,"1,174", , , , 
2019-10-07 16:51:34,83.50,341, , , , 
2019-10-07 17:51:34,69.37,136, , , , 
2019-10-07 18:51:34,51.69,1, , , , 
2019-10-07 19:51:34,42.19,0, , , , 
2019-10-07 20:51:34,39.87,0, , , , 
2019-10-07 21:51:34,38.10,0, , , , 
2019-10-07 22:51:34,37.79,0, , , , 
2019-10-07 23:51:34,37.25,0, , , , 
2019-10-08 00:51:34,36.86,0, , , , 
2019-10-08 01:51:34,32.54,0, , , , 
2019-10-08 02:51:34,30.91,0, , , , 
2019-10-08 03:51:34,30.30,0, , , , 
2019-10-08 04:51:34,32.77,0, , , , 
2019-10-08 05:51:34,35.62,0, , , , 
2019-10-08 06:51:34,36.09,2, , , , 
2019-10-08 07:51:34,41.42,126, , , , 
2019-10-08 08:51:34,53.69,550, , , , 
2019-10-08 09:51:34,58.40,646, , , , 
2019-10-08 10:51:34,67.98,"1,023", , , , 
2019-10-08 11:51:34,72.61,649, , , , 
2019-10-08 12:51:34,81.80,"2,080", , , , 
2019-10-08 13:51:34,75.93,304, , , , 
2019-10-08 14:51:34,82.03,"1,339", , , , 
2019-10-08 15:51:34,95.08,"1,773", , , , 
2019-10-08 16:51:34,82.19,365, , , , 
2019-10-08 17:51:34,65.74,124, , , , 
2019-10-08 18:51:34,52.46,0, , , , 
2019-10-08 19:51:34,47.98,0, , , , 
2019-10-08 20:51:34,47.52,0, , , , 
2019-10-08 21:51:34,46.82,0, , , , 
2019-10-08 22:51:34,50.99,0, , , , 
2019-10-08 23:51:34,55.24,0, , , , 
2019-10-09 00:51:34,52.61,0, , , , 
2019-10-09 01:51:34,48.37,0, , , , 
2019-10-09 02:51:34,49.45,0, , , , 
2019-10-09 03:51:34,41.96,0, , , , 
2019-10-09 04:51:34,39.33,0, , , , 
2019-10-09 05:51:34,37.63,0, , , , 
2019-10-09 06:51:34,38.33,1, , , , 
2019-10-09 07:51:34,42.57,109, , , , 
2019-10-09 08:51:34,48.75,327, , , , 
2019-10-09 09:51:34,96.86,"5,978", , , , 
2019-10-09 10:51:34,74.62,733, , , , 
2019-10-09 11:51:34,72.61,615, , , , 
2019-10-09 12:51:34,78.10,981, , , , 
2019-10-09 13:51:34,78.25,320, , , , 
2019-10-09 14:51:34,80.57,"1,046", , , , 
2019-10-09 15:51:34,79.33,318, , , , 
2019-10-09 16:51:34,71.92,258, , , , 
2019-10-09 17:51:34,55.55,81, , , , 
2019-10-09 18:51:34,48.67,0, , , , 
2019-10-09 19:51:34,44.27,0, , , , 
2019-10-09 20:51:34,38.48,0, , , , 
2019-10-09 21:51:34,33.31,0, , , , 
2019-10-09 22:51:34,32.00,0, , , , 
2019-10-09 23:51:34,31.45,0, , , , 
2019-10-10 00:51:34,29.76,0, , , , 
2019-10-10 01:51:34,28.21,0, , , , 
2019-10-10 02:51:34,27.28,0, , , , 
2019-10-10 03:51:34,25.51,0, , , , 
2019-10-10 04:51:34,24.35,0, , , , 
2019-10-10 05:51:34,23.89,0, , , , 
2019-10-10 06:51:34,22.65,0, , , , 
2019-10-10 07:51:34,22.19,21, , , , 
2019-10-10 08:51:34,22.50,70, , , , 
2019-10-10 09:51:34,24.12,194, , , , 
2019-10-10 10:51:34,26.13,278, , , , 
2019-10-10 11:51:34,28.13,563, , , , 
2019-10-10 12:51:34,29.83,419, , , , 
2019-10-10 13:51:34,32.23,465, , , , 
2019-10-10 14:51:34,31.07,534, , , , 
2019-10-10 15:51:34,31.45,237, , , , 
2019-10-10 16:51:34,29.37,131, , , , 
2019-10-10 17:51:34,28.21,42, , , , 
2019-10-10 18:51:34,25.59,0, , , , 
2019-10-10 19:51:34,23.81,0, , , , 
2019-10-10 20:51:34,20.72,0, , , , 
2019-10-10 21:51:34,18.79,0, , , , 
2019-10-10 22:51:34,19.02,0, , , , 
2019-10-10 23:51:34,17.94,0, , , , 
2019-10-11 00:51:34,17.48,0, , , , 
2019-10-11 01:51:34,21.03,0, , , , 
2019-10-11 02:51:34,19.87,0, , , , 
2019-10-11 03:51:34,17.32,0, , , , 
2019-10-11 04:51:34,15.08,0, , , , 
2019-10-11 05:51:34,13.15,0, , , , 
2019-10-11 06:51:34,11.76,1, , , , 
2019-10-11 07:51:34,15.62,172, , , , 
2019-10-11 08:51:34,51.76,"5,318", , , , 
2019-10-11 09:51:34,55.55,"6,804", , , , 
2019-10-11 10:51:34,38.33,644, , , , 
2019-10-11 11:51:34,42.34,329, , , , 
2019-10-11 12:51:34,47.52,495, , , , 
2019-10-11 13:51:34,47.59,271, , , , 
2019-10-11 14:51:34,53.54,634, , , , 
2019-10-11 15:51:34,66.20,"1,058", , , , 
2019-10-11 16:51:34,61.34,333, , , , 
2019-10-11 17:51:34,48.13,101, , , , 
2019-10-11 18:51:34,36.32,0, , , , 
2019-10-11 19:51:34,31.92,0, , , , 
